,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
816,Furnished 8bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,90000000.0,1114,8,6,Furnished,1,Edo,80790.0
817,6bdrm Bungalow in Benin City for sale,"Edo State, Benin City",Benin City,300000000.0,1226,6,8,Unfurnished,1,Edo,244698.0
818,3bdrm Duplex in Abijo for sale,"Ibeju, Abijo",Abijo,100000000.0,250,3,3,Unfurnished,1,Lagos,400000.0
819,"5bdrm Duplex in Thomas Estate, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,170000000.0,320,5,5,Unfurnished,1,Lagos,531250.0
820,5bdrm Duplex in Idado for sale,"Lekki, Idado",Idado,280000000.0,400,5,5,Unfurnished,1,Lagos,700000.0
821,6bdrm Duplex in Mabushi Estate for sale,"Abuja (FCT), Mabushi",Mabushi,350000000.0,300,6,7,Semi-furnished,1,Abuja,1166667.0
822,"Furnished 2bdrm Apartment in Raymond Estate, Ketu-Alapere for sale","Kosofe, Ketu-Alapere",Ketu-Alapere,75000000.0,300,2,2,Furnished,1,Lagos,250000.0
823,"5bdrm Duplex in Conservation, Lekki Expressway for sale","Lekki, Lekki Expressway",Lekki Expressway,500000000.0,950,5,5,Unfurnished,1,Lagos,526316.0
824,"Furnished 4bdrm Duplex in Legislative Quarters, Gudu for sale","Abuja (FCT), Gudu",Gudu,270000000.0,1200,4,3,Furnished,1,Abuja,225000.0
825,Furnished 3bdrm Apartment in Wuye for sale,"Abuja (FCT), Wuye",Wuye,420000000.0,400,3,4,Furnished,1,Abuja,1050000.0
826,"Furnished 3bdrm Bungalow in Hosanna Estate, Enugu for sale","Enugu State, Enugu",Enugu,50000000.0,465,3,3,Furnished,1,Enugu,107527.0
827,"4bdrm House in Thomas Estate, Ajah for sale","Lagos State, Ajah",Ajah,140000000.0,600,4,4,Unfurnished,1,Lagos,233333.0
828,"5bdrm House in New Road, Lekki for sale","Lagos State, Lekki",Lekki,315000000.0,600,5,5,Unfurnished,1,Lagos,525000.0
829,5bdrm Mansion in Galadimawa for sale,"Abuja (FCT), Galadimawa",Galadimawa,360000000.0,500,5,5,Unfurnished,1,Abuja,720000.0
830,"4bdrm Duplex in Megamound, Ikota for sale","Lekki, Ikota",Ikota,350000000.0,250,4,4,Semi-furnished,1,Lagos,1400000.0
831,3bdrm Apartment in Lifecamp After for sale,"Gwarinpa, Life Camp",Life Camp,95000000.0,250,3,3,Unfurnished,1,Abuja,380000.0
832,"2bdrm Apartment in Gated, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,300000000.0,1000,2,2,Semi-furnished,1,Lagos,300000.0
833,4bdrm Duplex in Ire Akari Estate for sale,"Isolo, Ire Akari",Ire Akari,180000000.0,650,4,4,Semi-furnished,1,Lagos,276923.0
834,4bdrm Duplex in Adesanya for sale,"Surulere, Abraham Adesanya",Abraham Adesanya,135000000.0,1000,4,4,Semi-furnished,1,Lagos,135000.0
835,"Furnished 5bdrm Bungalow in Isheri, Alimosho for sale","Lagos State, Alimosho",Alimosho,95000000.0,743,5,5,Furnished,1,Lagos,127860.0
